alpha,-2,,alpha ,0,,alpha ,5,,alpha,10,,alpha,15,,alpha,17,
x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp
1,0,0.24447,1,0,0.24452,1,0,0.2338,1,0,0.0757,1,0,-0.1241,1,0,-1.67761
0.99374,0.00027,0.22726,0.99374,0.00027,0.22773,0.99374,0.00027,0.22094,0.99374,0.00027,0.07419,0.99374,0.00027,-0.12543,0.99374,0.00027,-1.68107
0.98298,0.00085,0.22512,0.98298,0.00085,0.22215,0.98298,0.00085,0.21102,0.98298,0.00085,0.07023,0.98298,0.00085,-0.12808,0.98298,0.00085,-1.68818
0.97071,0.00168,0.22277,0.97071,0.00168,0.21691,0.97071,0.00168,0.2008,0.97071,0.00168,0.0657,0.97071,0.00168,-0.13111,0.97071,0.00168,-1.6963
0.95726,0.00278,0.21852,0.95726,0.00278,0.21007,0.95726,0.00278,0.18912,0.95726,0.00278,0.06085,0.95726,0.00278,-0.13443,0.95726,0.00278,-1.7048
0.94297,0.00418,0.20965,0.94297,0.00418,0.19911,0.94297,0.00418,0.17466,0.94297,0.00418,0.05592,0.94297,0.00418,-0.13792,0.94297,0.00418,-1.71453
0.92804,0.00587,0.19658,0.92804,0.00587,0.18416,0.92804,0.00587,0.15716,0.92804,0.00587,0.05106,0.92804,0.00587,-0.14153,0.92804,0.00587,-1.72508
0.9126,0.00781,0.1804,0.9126,0.00781,0.16615,0.9126,0.00781,0.13699,0.9126,0.00781,0.04639,0.9126,0.00781,-0.14524,0.9126,0.00781,-1.74134
0.89675,0.00995,0.16341,0.89675,0.00995,0.14722,0.89675,0.00995,0.11535,0.89675,0.00995,0.04204,0.89675,0.00995,-0.14904,0.89675,0.00995,-1.75199
0.88063,0.01222,0.14777,0.88063,0.01222,0.12935,0.88063,0.01222,0.09347,0.88063,0.01222,0.0382,0.88063,0.01222,-0.15289,0.88063,0.01222,-1.76424
0.86436,0.0146,0.1325,0.86436,0.0146,0.11177,0.86436,0.0146,0.07126,0.86436,0.0146,0.03483,0.86436,0.0146,-0.15677,0.86436,0.0146,-1.77753
0.84799,0.01708,0.11694,0.84799,0.01708,0.09376,0.84799,0.01708,0.04822,0.84799,0.01708,0.02956,0.84799,0.01708,-0.16067,0.84799,0.01708,-1.79106
0.83152,0.01965,0.10081,0.83152,0.01965,0.07504,0.83152,0.01965,0.02423,0.83152,0.01965,0.02036,0.83152,0.01965,-0.16459,0.83152,0.01965,-1.81894
0.81495,0.02229,0.08417,0.81495,0.02229,0.05553,0.81495,0.02229,-0.00097,0.81495,0.02229,0.00886,0.81495,0.02229,-0.16853,0.81495,0.02229,-1.83199
0.79829,0.025,0.06771,0.79829,0.025,0.03586,0.79829,0.025,-0.02691,0.79829,0.025,-0.00517,0.79829,0.025,-0.17249,0.79829,0.025,-1.8413
0.78154,0.02775,0.0516,0.78154,0.02775,0.01606,0.78154,0.02775,-0.05363,0.78154,0.02775,-0.02195,0.78154,0.02775,-0.17647,0.78154,0.02775,-1.85329
0.76472,0.03053,0.03621,0.76472,0.03053,-0.00369,0.76472,0.03053,-0.08111,0.76472,0.03053,-0.04156,0.76472,0.03053,-0.18046,0.76472,0.03053,-1.86559
0.74788,0.03331,0.02227,0.74788,0.03331,-0.02281,0.74788,0.03331,-0.10918,0.74788,0.03331,-0.06406,0.74788,0.03331,-0.18446,0.74788,0.03331,-1.87833
0.73108,0.03608,0.00903,0.73108,0.03608,-0.04113,0.73108,0.03608,-0.13749,0.73108,0.03608,-0.08918,0.73108,0.03608,-0.18844,0.73108,0.03608,-1.89059
0.71433,0.03881,-0.0077,0.71433,0.03881,-0.05771,0.71433,0.03881,-0.16614,0.71433,0.03881,-0.11687,0.71433,0.03881,-0.1924,0.71433,0.03881,-1.90251
0.69764,0.04151,-0.04815,0.69764,0.04151,-0.07231,0.69764,0.04151,-0.19492,0.69764,0.04151,-0.14686,0.69764,0.04151,-0.19631,0.69764,0.04151,-1.91464
0.681,0.04416,-0.14268,0.681,0.04416,-0.08548,0.681,0.04416,-0.22366,0.681,0.04416,-0.17877,0.681,0.04416,-0.20016,0.681,0.04416,-1.92725
0.66441,0.04675,-0.174,0.66441,0.04675,-0.10634,0.66441,0.04675,-0.25291,0.66441,0.04675,-0.21264,0.66441,0.04675,-0.20387,0.66441,0.04675,-1.94014
0.64787,0.04927,-0.18136,0.64787,0.04927,-0.16982,0.64787,0.04927,-0.28219,0.64787,0.04927,-0.24803,0.64787,0.04927,-0.20734,0.64787,0.04927,-1.95336
