alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-2,-0.2433,0,-0.00024,0.004,0,0
-1.5,-0.1825,0,-0.00024,0.003,0,0
-1,-0.1217,0,-0.00024,0.002,0,0
-0.5,-0.0609,0,-0.00024,0.001,0,0
0,0,0,-0.00024,0,0,0
0.5,0.0608,0,-0.00024,-0.001,0,0
1,0.1216,0,-0.00024,-0.002,0,0
1.5,0.1824,0,-0.00024,-0.003,0,0
2,0.2432,0,-0.00024,-0.004,0,0
2.5,0.304,0,-0.00024,-0.005,0,0
3,0.3648,0,-0.00025,-0.006,0,0
3.5,0.4255,0,-0.00025,-0.007,0,0
4,0.4862,0,-0.00025,-0.008,0,0
4.5,0.5469,0,-0.00025,-0.009,0,0
5,0.6075,0,-0.00026,-0.01,0,0
5.5,0.6681,0,-0.00026,-0.011,0,0
6,0.7286,0,-0.00027,-0.0119,0,0
6.5,0.789,0,-0.00027,-0.0129,0,0
7,0.8495,0,-0.00028,-0.0139,0,0
7.5,0.9098,0,-0.00028,-0.0149,0,0
8,0.9701,0,-0.00029,-0.0158,0,0
8.5,1.0303,0,-0.00029,-0.0168,0,0
9,1.0904,0,-0.0003,-0.0177,0,0
9.5,1.1504,0,-0.00031,-0.0187,0,0
10,1.2104,0,-0.00032,-0.0196,0,0
10.5,1.2702,0,-0.00032,-0.0206,0,0
11,1.33,0,-0.00033,-0.0215,0,0
11.5,1.3897,0,-0.00034,-0.0224,0,0
12,1.4492,0,-0.00035,-0.0234,0,0
12.5,1.5087,0,-0.00036,-0.0243,0,0
13,1.568,0,-0.00037,-0.0252,0,0
13.5,1.6272,0,-0.00038,-0.0261,0,0
14,1.6863,0,-0.00039,-0.027,0,0
14.5,1.7453,0,-0.0004,-0.0279,0,0
15,1.8041,0,-0.00041,-0.0287,0,0
15.5,1.8628,0,-0.00042,-0.0296,0,0
16,1.9213,0,-0.00043,-0.0304,0,0
16.5,1.9797,0,-0.00044,-0.0313,0,0
17,2.038,0,-0.00045,-0.0321,0,0
