alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-2,-0.2341,0.0074,0.00212,0.002,0.6768,0.5952
-1.5,-0.1759,0.00735,0.00202,0.0016,0.6651,0.6045
-0.5,-0.0587,0.0073,0.00192,0.0005,0.6436,0.6237
0,0,0.00731,0.00189,0,0.6332,0.6332
0.5,0.0586,0.0073,0.00192,-0.0005,0.6236,0.6435
1,0.117,0.00735,0.00196,-0.001,0.6148,0.6538
1.5,0.1759,0.00735,0.00202,-0.0016,0.6046,0.6651
2,0.2341,0.0074,0.00212,-0.002,0.5952,0.6768
2.5,0.292,0.00742,0.00219,-0.0024,0.5803,0.689
3,0.3497,0.00741,0.00222,-0.0026,0.5564,0.7021
3.5,0.407,0.00749,0.00231,-0.0028,0.5321,0.7155
4,0.4645,0.00757,0.00248,-0.0031,0.5101,0.7292
4.5,0.5206,0.00775,0.00267,-0.0031,0.4726,0.743
5,0.5687,0.00873,0.00315,-0.0023,0.3289,0.7573
5.5,0.608,0.01061,0.00422,-0.0006,0.1453,0.7725
6,0.6519,0.01184,0.0051,0.0008,0.067,0.7884
6.5,0.6987,0.01267,0.0059,0.002,0.0472,0.8045
7,0.7449,0.01345,0.00674,0.0034,0.0395,0.8211
7.5,0.7881,0.0143,0.00769,0.0052,0.0344,0.8393
8,0.8242,0.01544,0.00894,0.008,0.0306,0.8603
8.5,0.8613,0.01626,0.00993,0.0108,0.0283,0.8839
9,0.8835,0.01728,0.01111,0.0161,0.0264,0.9194
9.5,0.9205,0.01894,0.01299,0.0172,0.0248,1
10,0.9486,0.02053,0.01465,0.0197,0.0236,1
10.5,0.9768,0.0222,0.01637,0.0219,0.0224,1
11,0.995,0.02497,0.01918,0.0248,0.0213,1
11.5,1.0227,0.02701,0.02137,0.0266,0.0208,1
12,1.048,0.02942,0.02393,0.0284,0.0202,1
12.5,1.0712,0.03206,0.02673,0.03,0.0196,1
13,1.0912,0.03506,0.02991,0.0315,0.019,1
13.5,1.1079,0.03829,0.03328,0.0325,0.0185,1
14,1.1212,0.04203,0.03717,0.0332,0.0181,1
14.5,1.1267,0.04705,0.04239,0.0338,0.0176,1
15,1.1176,0.05358,0.04927,0.0334,0.0173,1
15.5,1.1036,0.06113,0.05716,0.0315,0.0172,1
16,1.081,0.07067,0.06705,0.028,0.0171,1
16.5,1.0504,0.08247,0.0792,0.0222,0.017,1
17,1.0077,0.09807,0.09518,0.0131,0.0169,1
